review_text,reviewer_name,review_title,review_date,review_star_ratings
and i am always happy while using it anf i have never thrown it on tbe floor after losing in pokemon unite,Jeonex,vegy good and,October 2021,5.0 out of 5 stars
Son will love it,MRS RACHEL WILLIAMS,Fab,October 2021,5.0 out of 5 stars
Nice product but did not come with a UK adaptor,MACS78,Good product but no UK adaptor supplied,October 2021,4.0 out of 5 stars
My daughters face when she opened it was priceless and we all play daily.,Rudi Meier,Brilliant,2 October 2021,5.0 out of 5 stars
Very happy and it was nice to realise I could buy this console as a longtime Amazon customer in 5 payments which suits my budget. Great console and top class customer service through Amazon. Goes to show guys there’s financial fareness out there on products you need to keep you entertained. 👏 cheers Amazon. I’ll keep being a true customer.,Kev Forrest,Brilliant!,2 October 2021,5.0 out of 5 stars
"My thoughts:This a good console if you want a console for your TV whilst having a on the go console. Very easy to set up and very easy & convenient to switch from TV to handheld. It comes with all the cables and accessories you need to start playing right away.Who this is for:-People who can only afford one console whilst needing TV & handheld-If you don't already have a console that can play the games you want to play (E.G, if you want to play animal crossing and don't already have it on a different platform)I would recommend, especially if you can get it on sale!",Alfie Hudson,Very good all-in-one console,30 September 2021,5.0 out of 5 stars
"Bought for 5yr old daughter, she’s now 6 and plays this all the time, loves all the Mario games particularly Mario Odessey with its open world and assisted play for younger players, and animal crossing is also a firm favourite.The we have a screen protector, and no case yet however it has survived a few knocks and drops so quite resilient.The controllers however considering their cost, don’t seem like they’d last. One of our controllers started to ‘drift’ to the left, causing character and menus to keep going left. Rather than buy a new controller set for £70 odd, I purchased a new analogue stick for £2-£3 on eBay and opened up the controller and fitted it myself, I’m no techie, just a mum with a screwdriver was easy to do! Works good as new, so worth a try if you have this problem!",Morgie,Great fun.. controllers don’t stand the test of time,21 September 2021,4.0 out of 5 stars
"I have the NES, SNES, N64 & Gamecube, and a family member has the Wii, I'm a fan of all console's rather than one in particular.I was hesitant to get this after the casual Wii and the failed Wii U, but Breath of the wild was something I wanted to play. I have noticed a few glaring issues with this console.Firstly; it is in some ways poorly designed, an identity crisis with sub par quality in some area's. They made a handheld console you fit into an awkward dock to play on a TV, but can't be played if it isn't charged, and doesn't come with the £50 official controller, meaning you must resort to the small Joy Con's which are greatly inferior (and somewhat small) compared to the other big two. You have to make sure the switch's settings for TV output are auto otherwise it'll strongly to show anything on the correct HDMI setting. This makes TV player's feel like an after thought.You then have their other console the lite, a slightly more underwhelming version which is solely a handheld. It would've been wiser for them to make this switch the handheld only and then a slightly beefed up TV console. Overall, not good design by Nintendo, but this is following the unsuccessful Wii U.Another big negative; the game library. Nintendo used to have a very competitive game library with 1st and 3rd party game's (like on the N64, Goldeneye/Perfect Dark, Conkers Bad Fur Day, Turok etc) after the Game Cube they completely tried to stop competing with the other big two and dropped the more adult game's for more child/family friendly game's (which make the vast bulk of their library and opted for the casual demographic instead of the hardcore.) This is a bit of a kick in the teeth as it means the Switch mainly comprises of it's expected 1st party title's (Zelda, several Mario's etc) and then a swathe of ports unless you want a game targeted for a very niche audience or children. Pretty bad, the N64 was a little difficult to program for and had the restriction of cartridges yet it's game library had powerhouse titles. Maybe the move back to cartridges restricts what can be done on the switch?Another big issue I don't think has ever been brought up, Nintendo (with this console especially) has the market absolutely flooded with cheap and nasty 3rd party products, unofficial products likely from China, that in some cases even try to mimic official Nintendo products (like the Pro Controller). Then there's officially licensed products by Nintendo from other party's, like the PowerA controller etc, whose quality is on the cheap/flimsy side of the spectrum. In all this dumbs down and gives a bit of a wild west free for all experience when trying to get a half decent and quality product, something much easier to avoid on the other big two console's. This is reminiscent of what nearly killed the game industry in the early 80s with no real standard's which ironically Nintendo back then partly saved.There are pro's to this console, it is portable if that's your desire, and there are some very good game's. For children it'll be especially good as the library caters to the casual gamer and children. But the above issues are things to be considered, and hopefully Nintendo will in the future make better design choices to negate all of this. They also need to get more big titles exclusive to the console (new IPs, not ports or the standard one's).It's a tricky console, for the few games that are good, I love it, but in the larger picture, the console is very grating. Also how can they have what is effectively a tablet, and make no use of any streaming platforms? (Netflix and Amazon Prime video at the p least) a real wasted opportunity.",Dagoth Ur,The harsh truth about this console,19 September 2021,3.0 out of 5 stars
"Always wanted this for myself, and when it came out I ordered one when I got a chance. Been using it a lot since purchasing and have spent hours playing games on it. I highly recommend this for any gamer.",Kian,Fantastic,13 September 2021,5.0 out of 5 stars
Great for sons borthday,Kestutis Liutkevicius,Great present,9 September 2021,5.0 out of 5 stars
Very happy with the product,Andrew hills,Very happy,8 September 2021,5.0 out of 5 stars
Unfortunately I wouldn't recommend this due to the joy con issue. I wish I had done more research on this and I would have not bought this. I am now left with a faulty Nintendo Switch which my son cannot play and that cost a lot of money.,VALENTINA MENGARELLI,Joy con issue after 3 weeks of very low usage,5 September 2021,1.0 out of 5 stars
Bought it as a present. The recipient loves it.,Ibrahima Diarrassouba,The boy enjoys it,31 August 2021,4.0 out of 5 stars
"I've been wanting a switch for a very long time, and decided to buy one. I had a look on the official site and it was £299, whereas Amazon it was nearly £30 off original price, which i came straight to Amazon. The switch had came in perfect condition, the packaging was brilliant just the exact same as you would buy out of anywhere, just for a cheaper price. Ive had the console for a while now and I've had no problems at all with it, everything is in great condition and i am enjoying my time with it. Would definitely suggest people that are wanting to purchase this item to buy through Amazon, cheaper but always real!!!!",Jon,Absolutely brilliant of a console,31 August 2021,5.0 out of 5 stars
"Arrived in perfect condition, box was immaculate and everything works perfectly",WaifuOrNoLaifu,Perfect,29 August 2021,5.0 out of 5 stars
"It could not connect to the internet. We called Amazon, they tried to troubleshoot. Amazon transferred the call to Nintendo and they confirmed that the Nintendo was faulty. They then suggested we send it for repair. No thanks I said, I don't want a repaired device when I paid for a brand new one. Amazon agreed to take it back and give a refund. A driver will come to collect it. It was a disappointment and now we have to wait a week for collection and refund. This was my child's birthday present and clearly a disappointment. Nevertheless, Amazon's customer service is second to none. They are fast, efficient and always go by what the customer asks.",Georgina,Does not work,28 August 2021,1.0 out of 5 stars
"My daughters who is 7  had the switch lite which she absolutely loved! So we decided to upgrade it and buy her the switch which was the best thing we did! It a great for the whole family to play. Lot more options and the sides come off and slide into a case like a proper controller. Something the switch lite doesn’t offer . This is that bit more expensive than the lite, but it’s worth the money. Whole fun for the family for hours!",Lee Ward,Great for all the family & friends,27 August 2021,5.0 out of 5 stars
"Bought a switch and it came with a faulty button, the L button on the left joycon didn't work. Asked for a replacement but they didn't replace it, told me to go to Nintendo to get it repaired. Very disappointed, now I have to wait upto another 10 days just to use it.",Owais Siddiqi,"Faulty controller, they couldn't replace it",27 August 2021,1.0 out of 5 stars
I got this to play mario cart and the new [well newish] zelda game but i found that this has so many cool games one it and with the 7ish hour battery life you can keep playing for hours,Cameron,Great little gaget,22 August 2021,5.0 out of 5 stars
"I've only had this product for a couple days, but between, Mario, Pokémon, Zelda, i have to say its a five star console, whether handheld or plugged into the TV, it seems a solid device. One which I wish i had bought sooner than I had.",steven8456,"Only a couple of days, but five stars...",20 August 2021,5.0 out of 5 stars
The nintendo switch is such a joy to play on one day i am out on the commute playing in handheld mode and the next day i am playing in docked mode on my TV how nintendo managed to blend the two so well is just awesome its by far my most favourite console ever made a must buy for sure 👍,James Osborne-Brooks,My most favourite Console/Handled of all time ❤️,17 August 2021,5.0 out of 5 stars
Bought this for my son's birthday. He had been wanting one for ages and was so excited when he got this. Unfortunately the joycons stopped working after a week and we have had to send it off to repair. It says that it can take up to a month to fix and receive it back. My son is so disappointed as am I considering how expensive they are and it's a well known problem.,LAA,Broke after one week,15 August 2021,1.0 out of 5 stars
⭐⭐⭐⭐⭐,Athina Oikonomi,⭐⭐⭐⭐⭐,13 August 2021,5.0 out of 5 stars
For kids,Matthew,Great,August 2021,5.0 out of 5 stars
We have not trued yet because we're waiting for animal crossing. But connection was very easy! Fingers crossed and the game will be here sooner 😃,Sarita,Great little machine,August 2021,5.0 out of 5 stars
"Great product, fast delivery.",Bryan ayre,"Fantastic product, would definitely recommend 100%",August 2021,5.0 out of 5 stars
Bought this for my grandson’s Birthday and he Was overjoyed love it so much,Amazon Customer,Nintendo switch,July 2021,5.0 out of 5 stars
Absolutely love it! I got this for the kids and me!! Reminds me of my childhood playing the game cube. Extra bits are expensive like more controls etc but all good quality. Mario odyssey is the best game!,Sue Lane,Great buy,July 2021,5.0 out of 5 stars
A*,Mr I like shopping,Multi use,July 2021,5.0 out of 5 stars
"Bought for other half, she is very happy with it",Macca,Fast delivery,July 2021,5.0 out of 5 stars
"we bought a Nintendo as a gift, the child was very happy",Mariya Mandradzhieva,good game,July 2021,4.0 out of 5 stars
My girl was over the moon 🌙 with this it has all her favourite games 🎮and I still get to set the parental controls to ensure its all age appropriate win win 🏆,Jo,Switch,July 2021,5.0 out of 5 stars
"Brilliant console, both my 12 year old and 7 year old have one now and they love them, my 12 year old has had his nearly 2 years and still loves it the same as the day he got it. I would advise buying the protective covers and the carry case to keep it in good condition but definitely a great buy.",bubbles_123,Great console,July 2021,5.0 out of 5 stars
really good came fast too i would recommend this,ehsan,came in mint condition,July 2021,5.0 out of 5 stars
Best purchase I've ever made,Cameron woodburne,Highly recommend,July 2021,5.0 out of 5 stars
"This is a great console that is portable with extended battery life. Having the possibility  of having two controllers makes social and multiplaying a real advantage. The colours are nice too. We have many games on the switch and the majority are good, however you will not be able to get the same games, well most of the same games on a larger console, I.e PS5/Xbox / PC which is a big disadvantage",Sam,"Great portable console, limited games for gamers",July 2021,5.0 out of 5 stars
Everything you would expect from the console,Clarke,Good product,July 2021,5.0 out of 5 stars
Very pleased,John Wood,My wife very pleased,July 2021,5.0 out of 5 stars
Amazing like new brill battery,bri,Nearly new,July 2021,5.0 out of 5 stars
Joy con controller was already broken and don't want to pay 7.99 to send whole console back while in hospital.,James collins,Joy con controller broken,July 2021,1.0 out of 5 stars
Excellent,Margaret Collins,Child loves it,July 2021,5.0 out of 5 stars
Pristine condition.,simcity,Very good,July 2021,5.0 out of 5 stars
"was always hesitant buying consoles online, however the switch has never let me down, an incredible small piece of tech that i can take anywhere, and go for big screen when i get home. this switch came adequalty packed in its own box unopened within a large box surrounded by packing, zero damage in delivery. would recomend .",shane broadway,perfect supplier,June 2021,5.0 out of 5 stars
This has broken after 6 months of moderate use. Always been charged in the docking station. It will not charge or switch on (seems to be a common fault) cannot contact Nintendo only go around in circles on their website and support pages. Can’t book a repair as it will not accept my postcode after trying several input methods. Terrible customer service. Shoddy console,carol f.,Common fault not charging or switching on,29 June 2021,1.0 out of 5 stars
"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     Within a month of having this switch, it began to malfunction. Firstly, it occasionally completely turns off mid-game and will not turn back on even when you plug in the charger. I had to search YouTube videos to find an answer as to why it was happening to no avail. I have to wait at least 20 minutes everytime this happens for the console to turn back on. When I first opened it from the box I noticed the left joy con didn’t feel as secure as the right. Over time this has become progressively worse to the point that the left joy con will slide off during game play. It’s very annoying to think I may have recieved a faulty switch but I’m left disappointed that this may be the case.",Nneka,Loose joy con and malfunctioning console,27 June 2021,1.0 out of 5 stars
Great game console. Very quick delivery,williams,Great game console,25 June 2021,5.0 out of 5 stars
The seller described Nintendo in very good condition but sent a completely rubbish  console. When I sent it back the seller accused me in fraud insisting that I replaced the item. Got very bad experience after having business with The money station. Not recommending to anyone.,Russ,A ruined birthday and lost money,25 June 2021,1.0 out of 5 stars
"Exactly as the switch is advertised as, if you want a higher end console buy a PS5 or if you want a higher end gaming experience, invest in a good PC build.As the switch stands, it's exactly as advertised, for those who have high expectations, read through the specs of each console before you decide to buy any of them.",Andrew,It's a switch what more is there to say,23 June 2021,5.0 out of 5 stars
"She is thrilled with it, dispute the long delivery time",julia,Gift for my granddaughter,23 June 2021,5.0 out of 5 stars
its nice,nick,is nice,22 June 2021,5.0 out of 5 stars
This item has still not been picked up as I was told it would be. I don’t want to incur more costs?Thank you,Pen Name,Pick up,22 June 2021,3.0 out of 5 stars
Arrived within expected time and in the best packing condition. My son is on the top of the moon with this amazing birthday present. Thanks Amazon,mahmood haidary,Very fast delivery,20 June 2021,5.0 out of 5 stars
"I love that I was able to order, that it’s in perfect condition and the price is great.Everything as you buy it from new. Everything including the accessories was in perfect conditionMuch better option than having to wait an eternity to get one bit with a better price.",Gemma,"Fab buy. As new, yet so much cheaper and in stock.",13 June 2021,5.0 out of 5 stars
"I'm a 90s kid. I grew up in the age of platformers. I originally bought a PS4 and I had a good time with it, but the happiest I felt playing it was the Spyro Reignited trilogy. That's what I am at heart, I'm a cutesy platformer fan.(I also adored Tomb Raider and did spend a lot of time on Modern Warfare).Anyway... This seems to be the console for me. I love that it's handheld because I like to play lying down in bed or wherever around the house. But more importantly the games are exactly the type to appeal to a 90s kid.Platformers and Pokemon... Simple games. Not epic dark souls stuff. That's what I enjoy. I've been enjoying Mario Kart 8 and Oddysey so far.",Rusty Shackleford,I am very happy with this,June 2021,5.0 out of 5 stars
"do not buy from the eshop.as much as possible i advise following the rule: seek out physical copies (second-hand is even better so as not to support the appalling business practices of nintendo).even if the software you download is categorically unplayable they will not offer you a refund, no matter what.this isn't even the industry standard; with microsoft, steam, and sony all offering much more realistic refund policies on digital content.the switch is a great device but held back by nintendo's archaic, draconian policies. don't support them in this by buying second-hand whenever possible (from sellers who, guess what, often accept returns and refunds if the item is faulty).don't charge me for a wet pile of broken glass when what you promised was a glass of water. i will not stand for this and i hope that nobody else will, either.",Alex A,do not buy from the eshop,June 2021,1.0 out of 5 stars
My daughter loved it,An0a,Nice nintendo,June 2021,5.0 out of 5 stars
the perfect portable video games console with great games,Dan,Top nintendo quality,June 2021,5.0 out of 5 stars
If you wanted a Switch you would have bought it. You've seen the reviews on YouTube. Buy it when it's in stock. They sell so fast. So don't dull,Sade,It's a switch,May 2021,5.0 out of 5 stars
"Been meaning to buy this for a while, Everything came brand new.Cant wait to buy some games for it 😌",Kaci,Worth the money,May 2021,5.0 out of 5 stars
Excellent,Nffc,Brilliant,May 2021,5.0 out of 5 stars
Son loves but still struggling to learn how to use on the keyboard,franchsca,Good entertainment for kids,May 2021,5.0 out of 5 stars
Great fun my daughter got this for her birthday and loves it.,MR ALAN YOUNG,Great Fun,May 2021,5.0 out of 5 stars
This is my first Nintendo console and I have been waiting for months to get it. I was able to save extra by getting a secondhand console described as in “very good” condition which came out spotless and brand new with all the accessories included also in spotless conditions. The screen quality is top notch with amazing colour temperature and the battery life is also really good. The order was fast and the switch was packed extra safely hence no damage whatsoever. I am very happy and relieved the whole waiting game to buy it is finally over.,Ezzie,First Nintendo console,May 2021,5.0 out of 5 stars
Amazing but it took a long time to get shipped to the uk. more then a week.,justin Maitland-Walker,Amazing,May 2021,5.0 out of 5 stars
Did not work. Still fighting to get a refund,Amazon Customer,Avoid,May 2021,1.0 out of 5 stars
Son loves it. But l think the whole thing expensive.,sharon,Good. But expensive,May 2021,5.0 out of 5 stars
"My son was very happy 😊💙and hi loved it I recommend for everyone, very fast delivery  so I give 5 started 😊👍",naomi,Nintendo switch 👌,May 2021,5.0 out of 5 stars
Love it.,jordan,Perfect,May 2021,5.0 out of 5 stars
"Bought in January, product wasn’t working in April. No reply from this company and no refund so now I’ve lost £339 still got no response in may",Jodie Clegg,Don’t buy from this company if you have a fault they will ignore you,May 2021,1.0 out of 5 stars
Work for couple weeks then wouldn’t power up and Amazon help was no use at all no refund or replacement it doesn’t give u an option for a replacement a lot of money down drain but not give it up to get refund or a replacement,Serah smith,Faulty switch,May 2021,1.0 out of 5 stars
Bought as a present had no complaints from recipients,Snake,No complaints,May 2021,5.0 out of 5 stars
"As described, my grandson loves this.",Denise Cox,As described,May 2021,5.0 out of 5 stars
Great value package deal👍,les gibson,Great value package deal good fun👍,April 2021,5.0 out of 5 stars
purchased the OLED edition instead..the regular switch:- good console- poor build quality- not a great screen- decent but limited software- good accessories- not a bad price- great for portable gaming,Jadon,excellent console but mine was faulty,August 2022,3.0 out of 5 stars
Not working properly!?!,Zehra kose,Upset !,August 2022,1.0 out of 5 stars
Lasted 14 months and now it won’t charge.,Noel Hickman,Poor longevity,August 2022,1.0 out of 5 stars
"My son loves this already, delivered earlier than expected. ⭐️⭐️⭐️⭐️⭐️",Vickie,Fast delivery,August 2022,5.0 out of 5 stars
Product didn’t work on arrival. Tried to contact seller but received no reply from them. Sent it back for a refund.,Danielle Harrison,Didn’t work,August 2022,1.0 out of 5 stars
Absolutely incredible price as it came in perfect condition and is the perfect gift for my bf so so happy :)),Molly,Blown away!!:),August 2022,5.0 out of 5 stars
The package arrived in perfect condition and everything was in good condition. The main unit is also brand new and has no problems!,Eden Zhang,Very Good!!!!!,August 2022,5.0 out of 5 stars
Arrived in perfect condition about a week earlier then expected. Very good 👍,Jake,Perfect,August 2022,5.0 out of 5 stars
It was on time and it worked.,Kindle Customer,It was on time and it worked.,July 2022,5.0 out of 5 stars
"I am obsessed with my switch, i’m on it all the time and i never get bored. I’ve had no malfunctions with it so far, it’s super super easily to use and the visuals are amazing. I’ve wanted one for 3 years but never got one because of the price but it is honestly so so worth it. Best thing i’ve ever bought so if you’re tempted to get one just do it.",sarah barlow,Favourite thing i’ve ever bought.,July 2022,5.0 out of 5 stars
Frustrating,Mary,Unsatisfied,27 April 2021,1.0 out of 5 stars
"Everything perfect with this console! A bit overpriced but was almost impossible to find anywhere else, so I’m happy with it!",Marta,Perfect birthday’s gift,22 April 2021,5.0 out of 5 stars
Love so much fun and choice of games online is excellent 👌,Pauline Dearing,FUN! FUN! FUN!,22 April 2021,5.0 out of 5 stars
I had lots of fun using it to do exercises!Super Super ！,Nancy,nice!!!,19 April 2021,5.0 out of 5 stars
Didn't connect to the TV.,Jonathan Chadwick,Faulty item,16 April 2021,1.0 out of 5 stars
I bought this for my daughters birthday and we all loved it. Some fantastic games. Bit of nostalgia.,Matty,Great fun,14 April 2021,5.0 out of 5 stars
Really good item,Mr. David Sheppard,Really good item,12 April 2021,5.0 out of 5 stars
It was a gift the ricipient loved it.,Diane McCourt,Switch,12 April 2021,5.0 out of 5 stars
"fantastic because you can put on tv,and also in the car, no internet required so its fantastic",lisa,great product,11 April 2021,5.0 out of 5 stars
Can’t fault it,Amy Gooderham,Like new,11 April 2021,5.0 out of 5 stars
Definite must buy its great for family fun and when your have friends over. purchaced a few christmases ago and its still going strong today... only let down for me is the controllers as there life is short. the analog sticks start to glitch out. They start to pull in one direction. They cost alot to replace but would definitely recommend spending the money and sticking with the original controllers but other than that its great.,Nimai Walcott,MUST BUY!!! GREAT FAMILY FUN!!!,April 2021,4.0 out of 5 stars
"By far the best family console out there, easy recommendation for all family households.",hakJav,Perfect Family Console,April 2021,5.0 out of 5 stars
"My son is very happy with this, good product",Bilge ,Very good,April 2021,5.0 out of 5 stars
"I wish we had paid the extra and bought an x-box!, some games work ok but if you want to do anything multi player and online (especially Minecraft!) then steer away from the Switch, it is flaky as can be, my son gets constant problems with trying to connect to realms or joining other friends, my other son can play quite happily on his Android tablet and Minecraft on my PC works fine but the Switch fails to connect all the time",Geoff Adams,I regret buying this!,April 2021,1.0 out of 5 stars
V well made. Good selection of titles,s cox,Love it,April 2021,5.0 out of 5 stars
"Arrived on time and works perfectly, very impressed.",Mason Smith,Works perfect and fast delivery,April 2021,5.0 out of 5 stars
I am still waiting for my refund from February! Absolutely awful! My child is distraught. Christmas present has gone wrong! The switch just stopped turning ON. Would not recommend at all.,Mrs Lewis,"Stopped working, sent for a refund in February... still waiting in April!",April 2021,1.0 out of 5 stars
"I'm not a Nintendo fan, but this console is worth having to keep the gamer in you alive. You can take it with you, play on the TV. So far, not impressed on the TV. Not HD.",Carl Staples,Good console,April 2021,5.0 out of 5 stars
"DON'T BUY! I googled the serial code of the Switch I purchased from here and it came up with loads of articles about it being a fake! Makes sense as it was very glitchy, didn't play the games well, the controllers didn't charge past about 50%, the docking station didn't charge the Switch or connect it to the TV. Was £100 more expensive here than the site I purchased my new one from. 100% DO NOT RECOMMEND!",jacob buckley,DO NOT RECCOMEND!,April 2021,1.0 out of 5 stars
"Great Product, can't fault it.",Howell John Thomas,"Great Product, can't fault it.",April 2021,5.0 out of 5 stars
Love it!,Amazon Customer,Perfect,3 April 2021,5.0 out of 5 stars
"Grest buy with Warehouse deals, got excellent switch with great discounts.",Sachin Deshpande,"Great switch with good discount, warehouse deals rocks!!",3 April 2021,5.0 out of 5 stars
Great family fun,JOHN ROY,Fun,2 April 2021,5.0 out of 5 stars
"I absolutely love the switch, no faults and came fast",Kira,Brilliant,30 March 2021,5.0 out of 5 stars
Broke after 21 days .emails ignored,George C.,Very sensitive breaks easily .company ignores emails .not a happy granddaughter .,30 March 2021,1.0 out of 5 stars
Works perfectly. Personally I'd say it's drastically overpriced but it works and keeps my little boy entertained so....,JONATHAN O'CONNOR,Good if you can afford it.,29 March 2021,5.0 out of 5 stars
It’s a Nintendo Switch....it’s awesome,Stephen,Awesome Nintendo Switch,28 March 2021,5.0 out of 5 stars
It definitely worth the money I bought it for. I bought on Black Friday last year so I have had the Nintendo switch for about 5 months and it has great quality on the screen very clear and easy to use and also you will have to step up an account first as well but it is easy to do. When you connect to the tv you do you get an HMI lead with and it comes with its plug and it's a docking station for the tv so it easy to step up and the quality on the tv is amazing it is really good quality for me. It come with everything include in the Nintendo switch box. Definitely would buy another one but on black Friday deals. I bought this Nintendo switch with 2021 just dance as a bundle.,April Notton,"Worth the money, great birthday present",28 March 2021,5.0 out of 5 stars
"Quick review. Great console, love it!",Jacs Baker,Would recommend,27 March 2021,5.0 out of 5 stars
